TraceName,ExpName,ipc,precision,recall,Filter
709.cactus_r-shifted_gauge_wave-27B,bw3200_normal,0.31012,99.82,99.76,1
709.cactus_r-shifted_gauge_wave-27B,bw3200_normal_pythia,0.34114,92.18,77.94,1
709.cactus_r-shifted_gauge_wave-27B,bw3200_xpt,0.30579,99.84,45.03,1
709.cactus_r-shifted_gauge_wave-27B,bw3200_xpt_pythia,0.336,37.18,4.56,1
709.cactus_r-shifted_gauge_wave-824B,bw3200_nopf,0.91043,0,0,1
709.cactus_r-shifted_gauge_wave-824B,bw3200_pythia,0.92083,0,0,1
709.cactus_r-shifted_gauge_wave-824B,bw3200_normal,0.91312,98.05,97.75,1
709.cactus_r-shifted_gauge_wave-824B,bw3200_normal_pythia,0.92143,85.86,58.58,1
709.cactus_r-shifted_gauge_wave-824B,bw3200_xpt,0.91194,97.15,44.91,1
709.cactus_r-shifted_gauge_wave-824B,bw3200_xpt_pythia,0.92035,53.83,4.26,1
709.cactus_r-shifted_gauge_wave-8B,bw3200_nopf,0.69936,0,0,1
709.cactus_r-shifted_gauge_wave-8B,bw3200_pythia,0.87013,0,0,1
709.cactus_r-shifted_gauge_wave-8B,bw3200_normal,0.71516,97.78,96.53,1
709.cactus_r-shifted_gauge_wave-8B,bw3200_normal_pythia,0.87209,87.41,65.08,1
709.cactus_r-shifted_gauge_wave-8B,bw3200_xpt,0.70584,98.1,45.29,1
709.cactus_r-shifted_gauge_wave-8B,bw3200_xpt_pythia,0.86993,80.38,19.36,1
721.gcc_r-gcc_pp_O2_fpic-309B,bw3200_nopf,0.54223,0,0,1
721.gcc_r-gcc_pp_O2_fpic-309B,bw3200_pythia,0.65904,0,0,1
721.gcc_r-gcc_pp_O2_fpic-309B,bw3200_normal,0.57935,91.71,85.12,1
721.gcc_r-gcc_pp_O2_fpic-309B,bw3200_normal_pythia,0.67,76.22,43.22,1
721.gcc_r-gcc_pp_O2_fpic-309B,bw3200_xpt,0.55691,97.03,26.78,1
721.gcc_r-gcc_pp_O2_fpic-309B,bw3200_xpt_pythia,0.66305,51.09,0.8,1
721.gcc_r-ref32_O3_inline12000-113B,bw3200_nopf,0.30794,0,0,1
721.gcc_r-ref32_O3_inline12000-113B,bw3200_pythia,0.38182,0,0,1
721.gcc_r-ref32_O3_inline12000-113B,bw3200_normal,0.34398,93.5,98.66,1
721.gcc_r-ref32_O3_inline12000-113B,bw3200_normal_pythia,0.40798,86.23,82.47,1
721.gcc_r-ref32_O3_inline12000-113B,bw3200_xpt,0.31408,99.52,15.26,1
721.gcc_r-ref32_O3_inline12000-113B,bw3200_xpt_pythia,0.38162,55.96,0.35,1
721.gcc_r-ref32_O3_inline12000-390B,bw3200_nopf,0.32134,0,0,1
